,title,Directed by,Screenplay by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release dates,Running time,Country,Language,Budget,Box office,Running time (int),Budget (float),Box office (float),Release dates (datetime),imdb,metascore,rotten_tomatoes,Written by,Production companies,Story by,Release date
26,Spider-Man: No Way Home,Jon Watts,,"['Stan Lee', 'Steve Ditko']","['Kevin Feige', 'Amy Pascal']","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau', 'Jamie Foxx', 'Willem Dafoe', 'Alfred Molina', 'Benedict Wong', 'Tony Revolori', 'Marisa Tomei', 'Andrew Garfield', 'Tobey Maguire']",Mauro Fiore,"['Jeffrey Ford', 'Leigh Folsom Boyd']",Michael Giacchino,,Sony Pictures Releasing,"['December 13, 2021 ( Fox Village Theatre )', 'December 17, 2021 (United States)']",148 minutes,United States,English,$200 million,$1.922 billion,148.0,200000000.0,1922000000.0,2021-12-13,8.2,71,93%,"['Chris McKenna', 'Erik Sommers']","['Columbia Pictures', 'Marvel Studios', 'Pascal Pictures']",,
27,Doctor Strange in the,Sam Raimi,,Marvel Comics,Kevin Feige,"['Benedict Cumberbatch', 'Elizabeth Olsen', 'Chiwetel Ejiofor', 'Benedict Wong', 'Xochitl Gomez', 'Michael Stuhlbarg', 'Rachel McAdams']",John Mathieson,"['Bob Murawski', 'Tia Nolan']",Danny Elfman,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures']","['May 2, 2022 ( Dolby Theatre )', 'May 6, 2022 (United States)']",126 minutes,United States,English,$294.5 million,$955.8 million,126.0,294500000.0,955800000.0,2022-05-02,6.9,60,73%,Michael Waldron,,,
28,Thor: Love and Thunder,Taika Waititi,,Marvel Comics,"['Kevin Feige', 'Brad Winderbaum']","['Chris Hemsworth', 'Christian Bale', 'Tessa Thompson', 'Jaimie Alexander', 'Taika Waititi', 'Russell Crowe', 'Natalie Portman']",Barry Idoine,"['Matthew Schmidt', 'Peter S. Elliot', 'Tim Roche', 'Jennifer Vecchiarello']","['Michael Giacchino', 'Nami Melumad']",Marvel Studios,"['Walt Disney Studios', 'Motion Pictures']","['June 23, 2022 ( El Capitan Theatre )', 'July 8, 2022 (United States)']",119 minutes,United States,English,$250 million,$760.9 million,119.0,250000000.0,760900000.0,2022-06-23,6.2,57,63%,"['Taika Waititi', 'Jennifer Kaytin Robinson']",,,
29,Black Panther: Wakanda Forever,Ryan Coogler,"['Ryan Coogler', 'Joe Robert Cole']",Marvel Comics,"['Kevin Feige', 'Nate Moore']","['Letitia Wright', ""Lupita Nyong'o"", 'Danai Gurira', 'Winston Duke', 'Florence Kasumba', 'Dominique Thorne', 'Michaela Coel', 'Mabel Cadena', 'Tenoch Huerta Mejía', 'Martin Freeman', 'Julia Louis-Dreyfus', 'Angela Bassett']",Autumn Durald Arkapaw,"['Michael P. Shawver', 'Kelley Dixon', 'Jennifer Lame']",Ludwig Göransson,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures']","['October 26, 2022 ( Hollywood, Los Angeles )', 'November 11, 2022 (United States)']",161 minutes,United States,English,$200–250 million,$859.2 million,161.0,200.0,859200000.0,2022-10-26,6.7,67,83%,,,Ryan Coogler,
30,Ant-Man and the Wasp: Quantumania,Peyton Reed,,Marvel Comics,"['Kevin Feige', 'Stephen Broussard']","['Paul Rudd', 'Evangeline Lilly', 'Jonathan Majors', 'Kathryn Newton', 'David Dastmalchian', ""Katy O'Brian"", 'William Jackson Harper', 'Bill Murray', 'Michelle Pfeiffer', 'Corey Stoll', 'Michael Douglas']",Bill Pope,"['Adam Gerstel', 'Laura Jennings']",Christophe Beck,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures']","['February 6, 2023 ( Regency Village Theatre )', 'February 17, 2023 (United States)']",124 minutes,United States,English,$200 million,$476.1 million,124.0,200000000.0,476100000.0,2023-02-06,6.1,48,,Jeff Loveness,,,
31,Guardians of the Galaxy Vol. 3,James Gunn,,Marvel Comics,Kevin Feige,"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Karen Gillan', 'Pom Klementieff', 'Vin Diesel', 'Bradley Cooper', 'Will Poulter', 'Sean Gunn', 'Chukwudi Iwuji', 'Linda Cardellini', 'Nathan Fillion', 'Sylvester Stallone']",Henry Braham,"['Fred Raskin', ""Greg D'Auria""]",John Murphy,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures']","['April 22, 2023 ( Disneyland Paris )', 'May 5, 2023 (United States)']",150 minutes,United States,English,$250 million,$845.6 million,150.0,250000000.0,845600000.0,2023-04-22,7.9,64,82%,James Gunn,,,
32,The Marvels,Nia DaCosta,,Marvel Comics,Kevin Feige,"['Brie Larson', 'Teyonah Parris', 'Iman Vellani', 'Zawe Ashton', 'Gary Lewis', 'Park Seo-joon', 'Zenobia Shroff', 'Mohan Kapur', 'Saagar Shaikh', 'Samuel L. Jackson']",Sean Bobbitt,"['Catrin Hedström', 'Evan Schiff']",Laura Karpman,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures']","['November 7, 2023 (Las Vegas)', 'November 10, 2023 (United States)']",105 minutes,United States,English,"['$274.8 million (gross)', '$219.8 million (net)']",$205.6 million,105.0,274800000.0,205600000.0,2023-11-07,5.9,N/A,62%,"['Nia DaCosta', 'Megan McDonnell', 'Elissa Karasik']",,,
33,Deadpool 3,Shawn Levy,,"['Fabian Nicieza', 'Rob Liefeld']","['Kevin Feige', 'Ryan Reynolds', 'Shawn Levy', 'Simon Kinberg']","['Ryan Reynolds', 'Hugh Jackman', 'Morena Baccarin', 'Brianna Hildebrand', 'Jennifer Garner']",George Richmond,Shane Reid,Rob Simonsen,,"['Walt Disney Studios', 'Motion Pictures']",,,United States,English,,,,,,,N/A,N/A,,"['Rhett Reese', 'Paul Wernick', 'Zeb Wells', 'Ryan Reynolds', 'Shawn Levy']","['Marvel Studios', 'Maximum Effort', '21 Laps Entertainment']",,"['July 26, 2024']"
34,Captain America: Brave New World,Julius Onah,,Marvel Comics,"['Kevin Feige', 'Nate Moore', 'Malcolm Spellman']","['Anthony Mackie', 'Danny Ramirez', 'Carl Lumbly', 'Tim Blake Nelson', 'Shira Haas', 'Harrison Ford', 'Liv Tyler']",Kramer Morgenthau,,,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures']",,,United States,English,,,,,,,N/A,N/A,,"['Malcolm Spellman', 'Dalan Musson', 'Julius Onah', 'Matthew Orton']",,,"['February 14, 2025']"
35,Fantastic Four,Tim Story,,"['Stan Lee', 'Jack Kirby']","['Avi Arad', 'Bernd Eichinger', 'Ralph Winter']",See below,,,John Ottman,,20th Century Fox,,,United States,English,$230 million,"$635,449,065",,230000000.0,635449065.0,,5.7,40,28%,,"['20th Century Fox', 'Marvel Entertainment', 'Constantin Film', '1492 Pictures']",,
36,,,,,"['Kevin Feige', 'Eric Carroll ( Blade )']",,,,,['Marvel Studios'],['Walt Disney Studios Motion Pictures'],,,United States,English,,,,,,,,,,,,,2025–2027
37,,,,,"['Kevin Feige', 'Eric Carroll ( Blade )']",,,,,['Marvel Studios'],['Walt Disney Studios Motion Pictures'],,,United States,English,,,,,,,,,,,,,2025–2027
38,,,,,"['Kevin Feige', 'Eric Carroll ( Blade )']",,,,,['Marvel Studios'],['Walt Disney Studios Motion Pictures'],,,United States,English,,,,,,,,,,,,,2025–2027
39,,,,,"['Kevin Feige', 'Eric Carroll ( Blade )']",,,,,['Marvel Studios'],['Walt Disney Studios Motion Pictures'],,,United States,English,,,,,,,,,,,,,2025–2027
